# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 127000    1.29e+00  1.10e+00    1.01e-02  1.10e-02    8.38e-02  7.10e-02    2.3e-04
 128000    1.10e+00  1.00e+00    2.23e-03  7.74e-04    7.26e-02  6.63e-02    2.3e-04
 129000    1.22e+00  1.08e+00    1.74e-03  1.87e-03    8.04e-02  7.11e-02    2.3e-04
 130000    1.19e+00  1.25e+00    8.45e-04  1.12e-03    7.96e-02  8.31e-02    2.2e-04
 131000    1.02e+00  1.18e+00    2.46e-04  1.01e-04    6.83e-02  7.85e-02    2.2e-04
 132000    1.04e+00  1.12e+00    4.87e-03  6.08e-03    6.99e-02  7.56e-02    2.2e-04
 133000    1.30e+00  8.49e-01    1.11e-02  1.25e-02    8.69e-02  5.58e-02    2.2e-04
 134000    1.42e+00  1.24e+00    3.94e-03  1.79e-03    9.68e-02  8.43e-02    2.1e-04
 135000    1.28e+00  1.25e+00    1.83e-02  1.67e-02    8.53e-02  8.37e-02    2.1e-04
 136000    9.37e-01  8.29e-01    4.83e-03  4.10e-03    6.45e-02  5.71e-02    2.1e-04
 137000    1.16e+00  1.20e+00    1.27e-02  1.68e-02    7.92e-02  8.08e-02    2.1e-04
 138000    1.11e+00  1.04e+00    7.53e-03  7.29e-03    7.73e-02  7.23e-02    2.0e-04
 139000    9.10e-01  9.79e-01    1.51e-02  1.03e-02    6.14e-02  6.74e-02    2.0e-04
 140000    7.80e-01  8.13e-01    3.62e-03  3.04e-03    5.50e-02  5.74e-02    2.0e-04
 141000    8.37e-01  7.72e-01    8.70e-04  4.84e-04    5.91e-02  5.46e-02    2.0e-04
 142000    7.92e-01  8.29e-01    8.57e-03  1.06e-02    5.59e-02  5.83e-02    1.9e-04
 143000    8.50e-01  7.97e-01    7.68e-03  5.79e-03    6.02e-02  5.66e-02    1.9e-04
 144000    1.04e+00  1.16e+00    3.68e-03  4.43e-03    7.53e-02  8.40e-02    1.9e-04
 145000    8.92e-01  9.93e-01    3.90e-03  2.30e-03    6.44e-02  7.17e-02    1.9e-04
 146000    7.90e-01  9.12e-01    1.67e-03  4.58e-04    5.78e-02  6.67e-02    1.9e-04
 147000    9.50e-01  8.39e-01    1.16e-02  1.07e-02    6.82e-02  6.02e-02    1.9e-04
 148000    8.43e-01  7.50e-01    9.33e-03  8.44e-03    6.14e-02  5.47e-02    1.8e-04
 149000    9.31e-01  8.44e-01    2.67e-03  1.19e-03    6.88e-02  6.24e-02    1.8e-04
 150000    1.19e+00  1.11e+00    1.90e-02  1.84e-02    8.57e-02  8.00e-02    1.8e-04
 151000    8.17e-01  7.55e-01    4.48e-04  1.13e-03    6.11e-02  5.65e-02    1.8e-04
 152000    1.15e+00  1.27e+00    3.44e-04  1.44e-03    8.68e-02  9.60e-02    1.7e-04
 153000    1.11e+00  9.36e-01    3.63e-03  7.14e-03    8.42e-02  7.03e-02    1.7e-04
 154000    8.87e-01  1.05e+00    3.85e-03  3.61e-03    6.77e-02  8.06e-02    1.7e-04
 155000    1.27e+00  9.83e-01    7.08e-03  7.36e-03    9.67e-02  7.47e-02    1.7e-04
 156000    8.10e-01  6.99e-01    1.33e-02  1.49e-02    6.05e-02  5.09e-02    1.7e-04
 157000    7.22e-01  6.69e-01    3.46e-04  1.42e-03    5.59e-02  5.17e-02    1.7e-04
 158000    7.38e-01  8.44e-01    8.18e-03  7.40e-03    5.68e-02  6.54e-02    1.6e-04
