# batch      l2_tst    l2_trn    l2_e_tst  l2_e_trn    l2_f_tst  l2_f_trn         lr
 137000    1.49e+00  1.43e+00    1.33e-02  1.40e-02    1.02e-01  9.74e-02    2.1e-04
 138000    1.16e+00  1.10e+00    1.37e-02  1.20e-02    7.96e-02  7.57e-02    2.0e-04
 139000    9.13e-01  1.05e+00    1.53e-02  1.05e-02    6.15e-02  7.24e-02    2.0e-04
 140000    9.16e-01  8.49e-01    2.76e-03  3.29e-03    6.46e-02  5.99e-02    2.0e-04
 141000    8.16e-01  8.54e-01    2.02e-03  9.51e-04    5.76e-02  6.03e-02    2.0e-04
 142000    8.52e-01  9.15e-01    1.09e-02  1.40e-02    5.99e-02  6.38e-02    1.9e-04
 143000    8.44e-01  7.87e-01    6.99e-03  2.87e-03    5.99e-02  5.62e-02    1.9e-04
 144000    1.17e+00  1.32e+00    5.26e-03  5.22e-03    8.45e-02  9.56e-02    1.9e-04
 145000    1.05e+00  1.08e+00    9.26e-03  7.78e-03    7.52e-02  7.74e-02    1.9e-04
 146000    8.69e-01  9.18e-01    4.02e-04  1.41e-03    6.35e-02  6.71e-02    1.9e-04
 147000    1.11e+00  9.21e-01    1.18e-02  1.37e-02    7.98e-02  6.56e-02    1.9e-04
 148000    1.03e+00  9.71e-01    3.19e-03  2.73e-03    7.58e-02  7.17e-02    1.8e-04
 149000    9.00e-01  9.47e-01    4.89e-03  4.30e-03    6.63e-02  6.98e-02    1.8e-04
 150000    1.20e+00  1.30e+00    2.21e-02  2.26e-02    8.56e-02  9.31e-02    1.8e-04
 151000    7.18e-01  8.95e-01    3.85e-03  3.05e-03    5.36e-02  6.69e-02    1.8e-04
 152000    1.17e+00  1.26e+00    1.23e-02  1.13e-02    8.76e-02  9.44e-02    1.7e-04
 153000    1.30e+00  1.16e+00    7.99e-03  1.02e-02    9.80e-02  8.71e-02    1.7e-04
 154000    1.10e+00  1.25e+00    2.90e-03  2.13e-03    8.39e-02  9.58e-02    1.7e-04
 155000    1.15e+00  1.11e+00    1.02e-03  2.34e-04    8.79e-02  8.52e-02    1.7e-04
 156000    9.86e-01  8.68e-01    1.70e-02  1.70e-02    7.34e-02  6.38e-02    1.7e-04
 157000    7.72e-01  7.40e-01    7.74e-03  6.53e-03    5.91e-02  5.68e-02    1.7e-04
 158000    7.61e-01  8.76e-01    6.27e-03  5.45e-03    5.91e-02  6.83e-02    1.6e-04
 159000    7.47e-01  1.04e+00    2.59e-03  7.93e-03    5.84e-02  8.10e-02    1.6e-04
 160000    8.27e-01  7.53e-01    3.17e-05  2.71e-04    6.55e-02  5.97e-02    1.6e-04
 161000    8.92e-01  8.63e-01    1.32e-03  4.04e-04    7.06e-02  6.84e-02    1.6e-04
 162000    1.04e+00  7.18e-01    3.00e-03  2.30e-03    8.29e-02  5.75e-02    1.5e-04
 163000    1.28e+00  9.39e-01    1.04e-03  6.39e-04    1.03e-01  7.53e-02    1.5e-04
 164000    8.86e-01  8.58e-01    9.41e-04  5.45e-04    7.18e-02  6.95e-02    1.5e-04
 165000    8.08e-01  8.54e-01    2.06e-03  2.79e-03    6.54e-02  6.92e-02    1.5e-04
 166000    7.52e-01  8.76e-01    4.36e-03  2.57e-03    6.14e-02  7.18e-02    1.5e-04
 167000    8.73e-01  8.81e-01    7.51e-03  8.79e-03    7.09e-02  7.13e-02    1.5e-04
 168000    1.07e+00  9.59e-01    3.39e-03  7.84e-04    8.84e-02  7.95e-02    1.4e-04
 169000    8.01e-01  1.12e+00    9.98e-03  1.33e-02    6.51e-02  9.11e-02    1.4e-04
 170000    1.31e+00  8.12e-01    2.61e-02  2.38e-02    1.04e-01  5.98e-02    1.4e-04
 171000    8.75e-01  8.96e-01    5.36e-03  4.33e-03    7.30e-02  7.50e-02    1.4e-04
 172000    1.02e+00  9.00e-01    3.88e-03  4.74e-03    8.64e-02  7.61e-02    1.4e-04
 173000    7.81e-01  8.27e-01    8.63e-04  4.87e-04    6.63e-02  7.01e-02    1.4e-04
 174000    9.39e-01  1.09e+00    3.59e-03  4.09e-03    8.04e-02  9.36e-02    1.3e-04
 175000    7.65e-01  1.00e+00    1.30e-02  1.28e-02    6.34e-02  8.44e-02    1.3e-04
 176000    1.12e+00  7.08e-01    2.41e-03  2.84e-03    9.73e-02  6.14e-02    1.3e-04
 177000    6.64e-01  6.71e-01    1.68e-03  6.29e-04    5.76e-02  5.82e-02    1.3e-04
 178000    6.35e-01  7.47e-01    1.47e-04  1.66e-03    5.58e-02  6.55e-02    1.3e-04
 179000    8.53e-01  7.73e-01    4.64e-03  3.19e-03    7.46e-02  6.77e-02    1.3e-04
 180000    6.19e-01  7.24e-01    1.26e-03  3.34e-03    5.50e-02  6.42e-02    1.3e-04
 181000    7.87e-01  7.78e-01    4.52e-03  2.12e-03    6.96e-02  6.90e-02    1.3e-04
 182000    7.27e-01  7.22e-01    6.82e-03  9.25e-03    6.45e-02  6.34e-02    1.2e-04
 183000    8.97e-01  7.21e-01    1.32e-03  4.65e-04    8.06e-02  6.47e-02    1.2e-04
 184000    6.80e-01  6.75e-01    1.68e-03  1.86e-03    6.18e-02  6.13e-02    1.2e-04
 185000    7.28e-01  9.45e-01    9.66e-03  1.13e-02    6.45e-02  8.41e-02    1.2e-04
 186000    7.16e-01  8.31e-01    2.98e-03  2.61e-03    6.57e-02  7.63e-02    1.2e-04
 187000    8.62e-01  7.50e-01    1.84e-02  1.77e-02    7.41e-02  6.34e-02    1.2e-04
 188000    8.61e-01  7.44e-01    1.86e-02  2.01e-02    7.43e-02  6.11e-02    1.1e-04
 189000    5.23e-01  5.27e-01    5.72e-03  2.84e-03    4.80e-02  4.88e-02    1.1e-04
 190000    6.26e-01  5.66e-01    6.48e-03  4.30e-03    5.81e-02  5.29e-02    1.1e-04
 191000    8.55e-01  8.39e-01    1.34e-02  1.34e-02    7.74e-02  7.58e-02    1.1e-04
 192000    7.94e-01  6.41e-01    4.13e-04  3.66e-04    7.56e-02  6.10e-02    1.1e-04
 193000    6.71e-01  7.61e-01    1.35e-02  1.39e-02    5.99e-02  6.87e-02    1.1e-04
 194000    6.09e-01  7.13e-01    9.21e-03  1.03e-02    5.67e-02  6.66e-02    1.1e-04
 195000    6.53e-01  9.18e-01    4.89e-03  6.85e-03    6.23e-02  8.76e-02    1.1e-04
 196000    7.85e-01  8.62e-01    5.30e-04  1.58e-03    7.64e-02  8.38e-02    1.0e-04
 197000    6.69e-01  6.57e-01    1.75e-03  1.20e-03    6.50e-02  6.39e-02    1.0e-04
 198000    6.38e-01  5.74e-01    1.39e-02  1.37e-02    5.86e-02  5.19e-02    1.0e-04
 199000    7.22e-01  6.25e-01    6.09e-03  5.98e-03    7.04e-02  6.07e-02    1.0e-04
 200000    5.74e-01  6.73e-01    3.24e-04  2.31e-03    5.72e-02  6.69e-02    1.0e-04
 201000    6.18e-01  4.99e-01    6.89e-04  1.37e-03    6.15e-02  4.96e-02    1.0e-04
 202000    5.97e-01  5.44e-01    2.16e-03  2.29e-03    6.00e-02  5.46e-02    9.8e-05
 203000    5.70e-01  5.19e-01    4.32e-03  2.57e-03    5.70e-02  5.21e-02    9.8e-05
 204000    9.65e-01  6.45e-01    1.74e-02  1.47e-02    9.37e-02  6.07e-02    9.5e-05
 205000    6.36e-01  6.42e-01    2.16e-03  1.44e-03    6.47e-02  6.53e-02    9.5e-05
 206000    8.87e-01  5.95e-01    1.92e-03  1.95e-03    9.13e-02  6.12e-02    9.3e-05
 207000    5.80e-01  5.54e-01    8.11e-03  8.60e-03    5.81e-02  5.52e-02    9.3e-05
 208000    9.59e-01  8.87e-01    1.52e-02  1.52e-02    9.63e-02  8.85e-02    9.1e-05
 209000    5.34e-01  9.23e-01    1.12e-02  1.40e-02    5.24e-02  9.33e-02    9.1e-05
 210000    6.10e-01  5.54e-01    4.59e-04  2.68e-03    6.42e-02  5.82e-02    8.9e-05
 211000    5.64e-01  4.80e-01    1.54e-03  7.30e-04    5.94e-02  5.06e-02    8.9e-05
 212000    9.06e-01  1.06e+00    2.56e-03  6.48e-03    9.65e-02  1.12e-01    8.7e-05
 213000    6.17e-01  7.78e-01    9.75e-05  1.47e-03    6.58e-02  8.29e-02    8.7e-05
 214000    5.75e-01  9.93e-01    3.34e-04  2.39e-03    6.20e-02  1.07e-01    8.5e-05
 215000    8.76e-01  7.39e-01    2.43e-04  2.94e-05    9.44e-02  7.97e-02    8.5e-05
 216000    5.20e-01  5.43e-01    1.86e-03  2.39e-03    5.66e-02  5.90e-02    8.3e-05
 217000    5.02e-01  5.83e-01    2.19e-03  4.41e-03    5.47e-02  6.32e-02    8.3e-05
 218000    5.25e-01  4.58e-01    3.18e-03  3.51e-03    5.76e-02  5.01e-02    8.1e-05
